userId,age,gender,is_premium,region
1,45,1,0,1
2,65,0,1,8
3,52,1,1,2
4,18,0,0,1
5,39,1,0,5
6,23,1,0,1
7,57,1,0,6
8,45,1,1,6
9,31,1,0,1
10,68,1,1,4
11,63,1,0,5
12,22,0,0,2
13,23,1,0,9
14,60,0,0,1
15,20,1,0,3
16,54,0,0,2
17,25,1,0,7
18,42,1,0,5
19,47,0,1,1
20,38,1,1,8
21,32,1,0,7
22,29,1,0,4
23,40,0,0,3
24,36,0,0,4
25,45,1,0,6
26,28,1,0,2
27,64,1,1,5
28,23,0,0,3
29,41,0,0,1
30,19,1,0,5
31,28,0,1,1
32,21,1,0,8
33,19,1,0,3
34,31,0,0,3
35,30,0,0,6
36,49,1,1,1
37,21,1,0,8
38,33,0,1,9
39,47,0,1,3
40,69,1,1,4
41,27,1,0,7
42,33,1,1,8
43,19,0,1,1
44,43,1,0,9
45,51,0,0,3
46,27,1,0,8
47,38,0,0,4
48,25,1,1,6
49,49,0,0,1
50,40,1,0,1
51,57,1,0,4
52,27,1,0,5
53,48,1,0,6
54,54,1,0,7
55,27,0,0,6
56,31,1,1,9
57,53,1,0,4
58,49,0,0,2
59,24,0,0,8
60,69,0,1,6
61,56,0,0,2
62,45,0,0,1
63,47,0,0,8
64,60,1,0,8
65,62,0,0,3
66,55,0,1,1
67,56,1,1,8
68,55,0,0,1
69,27,0,0,7
70,69,1,0,2
71,61,1,1,6
72,52,0,0,4
73,38,1,0,5
74,56,0,0,6
75,29,0,0,1
76,65,1,0,7
77,35,0,0,4
78,50,1,0,1
79,23,0,1,3
80,48,0,0,4
81,18,0,0,2
82,61,0,0,5
83,35,0,1,5
84,69,1,1,2
85,68,1,1,5
86,50,1,0,1
87,21,0,1,1
88,20,0,0,6
89,21,0,1,5
90,45,1,0,6
91,49,0,0,4
92,66,0,1,8
93,48,0,0,3
94,56,1,0,3
95,37,0,1,4
96,64,0,0,9
97,21,1,0,8
98,66,0,0,3
99,69,1,0,7
100,47,0,0,8
101,65,0,0,6
102,65,1,0,4
103,34,1,0,6
104,63,0,0,9
105,53,1,0,9
106,33,1,1,8
107,39,1,1,4
108,50,1,0,7
109,61,0,0,9
110,59,0,0,3
111,60,0,1,1
112,37,0,0,8
113,43,0,0,6
114,20,0,1,3
115,42,1,0,1
116,60,1,1,9
117,35,0,0,9
118,65,0,0,4
119,30,1,0,8
120,42,0,0,8
121,49,0,0,3
122,43,0,0,3
123,40,0,1,9
124,28,0,0,3
125,37,1,0,8
126,46,0,0,5
127,48,0,0,3
128,45,0,1,3
129,64,0,1,2
130,35,1,1,4
131,35,1,0,9
132,60,1,0,4
133,68,1,0,4
134,63,0,0,1
135,33,0,0,2
136,69,1,0,8
137,65,0,0,2
138,25,1,0,3
139,21,0,1,4
140,39,0,0,1
141,59,0,0,9
142,25,1,0,7
143,67,0,1,8
144,24,0,0,6
145,37,0,1,6
146,37,0,0,2
147,59,0,1,4
148,65,0,0,1
149,45,0,0,7
150,31,0,1,3
151,22,1,1,4
152,25,1,0,6
153,45,1,1,2
154,29,1,0,3
155,41,0,0,1
156,54,0,1,5
157,47,0,0,7
158,22,1,0,6
159,60,1,1,2
160,21,1,1,4
161,62,0,1,2
162,38,1,0,6
163,52,0,0,9
164,24,1,0,1
165,24,0,1,3
166,50,1,0,5
167,67,0,0,6
168,22,1,0,4
169,26,0,0,8
170,36,1,0,4
171,25,1,0,5
172,49,1,0,3
173,31,0,0,3
174,25,0,1,7
175,30,0,0,7
176,31,0,0,3
177,33,1,1,9
178,20,0,0,7
179,18,1,1,5
180,36,1,0,7
181,50,1,0,9
182,63,1,0,7
183,45,1,0,4
184,18,1,0,2
185,46,0,1,9
186,34,0,1,1
187,26,1,1,5
188,29,1,0,4
189,31,1,0,7
190,61,1,0,7
191,18,1,0,6
192,56,0,0,2
193,31,0,1,1
194,29,1,0,4
195,38,0,1,9
196,54,1,1,6
197,58,0,1,3
198,61,1,0,1
199,65,0,0,3
200,46,1,0,2
201,55,0,0,3
202,69,0,0,7
203,19,1,0,8
204,49,0,0,4
205,52,1,0,2
206,52,1,0,1
207,66,1,1,9
208,60,1,0,7
209,24,1,0,8
210,69,1,1,6
211,67,1,0,7
212,55,1,0,5
213,52,0,0,3
214,42,0,1,4
215,54,1,0,8
216,54,1,1,6
217,28,0,1,9
218,50,1,0,4
219,32,0,0,7
220,65,0,0,7
221,21,1,0,7
222,45,0,1,4
223,47,1,0,4
224,26,1,0,6
225,35,1,0,2
226,68,1,0,8
227,46,1,0,6
228,47,0,0,3
229,30,0,1,7
